latitude,longitude,title,description
37.10465,103.397593,སྟག་ལུང་དགོན་དགའ་ལྡན་དམ་ཆོས་གླིང,"SN_id: SNG47 Remarks: Verified based on the book""Monasteries of Amdo"""
34.134166,103.219659,བཟེ་ཁ་དགོན་གཡུང་དྲུང་ནོར་བུ་གླིང,SN_id: SNG48 Remarks: This is the only temple like structure in this small Village of Rigai.
34.791899,103.151908,མཁར་མོ་ཆེ་གསང་སྔགས་བདུད་འདུལ་གླིང,SN_id: SNG53 Remarks: Verified based on the imformation provided in the dataset
34.5703170055923,102.562231173869,ཤིས་ཚང་སྒར་སར་དགའ་ལྡན་བཤད་སྒྲུབ་ཆོས་འཁོར་གླིང,SN_id: SNG54 Remarks: nan
33.600539,104.328352,མདའ་ཧྭ་དགོན་བཀྲ་ཤིས་དགེ་འཕེལ་གླིང,SN_id: SNG56 Remarks: Verified based on the information on GE.There is only one temple in Daha Village
34.101692,103.465569,ཚ་ཁོ་དགོན་བཀྲ་ཤིས་ཆོས་འཕེལ་གླིང,SN_id: SNG57 Remarks: Verified based on the imformation provided in the dataset
35.271667,102.801954,གནམ་ལྷའི་སྒར་སར་གསང་སྔགས་རིག་འཛིན་གླིང,SN_id: SNG58 Remarks: Verified based on the imformation provided in the dataset
36.977282,103.135487,པྲ་སྟི་རབ་རྒྱས་དགོན་པ,"SN_id: SNG59 Remarks: Verified based on the book""Monasteris of Amdo""Vol2"
33.716121,104.149695,ཡག་ཧྭ་དགོན་བསམ་གཏན་བཤད་སྒྲུབ་གླིང,SN_id: SNG60 Remarks: nan
34.9409827286901,102.855659020403,གཙོས་དགོན་དགའ་ལྡན་ཆོས་གླིང,"SN_id: SNG61 Remarks: Verified based on the book""Monasteries of Amdo"""
33.583068,104.350886,ཕུད་སྡོད་བཀྲ་ཤིས་ལྷུན་པོ,SN_id: SNG62 Remarks: Verified based on the informaton provided in the dataset
35.380058,102.585854,རྒན་གྱའི་རྩེ་ཞིག་གྱུང་དྲུང་བོན་བསྟན་འཕེལ་རྒྱས་གླིང,SN_id: SNG63 Remarks: Verified based on GE. 
33.603847,104.517226,ཨོང་གསུམ་དགོན་དགའ་ལྡན་ཚོགས་འཕེལ་གླིང,SN_id: SNG64 Remarks: Verified based on the information provided in the following website article: http://tb.tibet.cn/tb/index/religion/201808/t20180828_6212466.html
33.806315,103.882019,རྡོ་རི་ར་རྩ་དགོན་དཔལ་ལྡན་ཆོས་འཁོར་གླིང,SN_id: SNG65 Remarks: Verified based on the imformation provided in the GE
33.646932,104.404404,བུ་བདེ་དགོན་པ,SN_id: SNG68 Remarks: only temple in this village
33.803287,103.693631,ཞ་ནགས་གོང་བོན་པོའི་དགོན,SN_id: SNG69 Remarks: Closets site from the reference coordinates
34.835635,103.186918,ཨ་འཁོར་བྲག་དཀར་རི་ཁྲོད་སྤྲིན་འཛིན་ཆོས་ཀྱི་དགའ་འཁྱིལ་གླིང,SN_id: SNG70 Remarks: Verified based on the imformation provided in the dataset
34.902671,102.920452,དོར་ཞེ་དགོན་པ་-་དོར་ཞི་དགོན་དགའ་ལྡན་ཆོས་གླིང,SN_id: SNG72 Remarks: nan
34.195934,103.130691,མཚོ་ངེའུ་དགོན་བཀྲ་ཤིས་ལྷག་བསམ་འཁྱིལ,SN_id: SNG73 Remarks: Verified based on the information provided in the dataset
34.6623466932867,103.116590560261,ཀླུ་ཆུང་སྟག་ཚང་དགོན་དགའ་ལྡན་ཕུན་ཚོགས་གླིང,"SN_id: SNG74 Remarks: Verified based on the book""Monasteris of Amdo""Vol2"
33.76781,101.687393,ཝ་བན་ཚང་རྙིང་མའི་དགོན,"SN_id: SNG75 Remarks: Verified based on the book""Monasteris of Amdo""Vol2"
34.842749,103.458233,ཁྱ་དགེ་དགོན་ལེགས་བཤད་གླིང,SN_id: SNG77 Remarks: Verified based on the GE
34.662286,103.116586,སུམ་པ་རི་ཁྲོད་བཀྲ་ཤིས་བསམ་གཏན་གླིང,SN_id: SNG78 Remarks: Same as the reference coordinates
